system:index,Date,Latitude,Longitude,LST_Celsius,NDVI,Air_Temperature_C,Dew_Point_Temperature_C,Relative_Humidity_%,WindDirection,WindSpeed,Rainfall_mm,impervious_percentage,Cluster,UHI_Label
20250331_225,2025-03-31,19.36501801801804,73.01360784313725,31.65891036987307,0.3081,31.65891036987307,13.870956039428734,33.934670071168874,120.84114606840308,1.3349218336334243,0.0012844799925915,0.1445255182189941,1,High UHI
20250331_226,2025-03-31,19.36501801801804,73.06262745098039,32.113418833414755,0.3084,32.113418833414755,13.48708559672042,32.2551870093918,100.795978694333,1.1508571593752035,0.0012844799925915,1.150906601272284,1,High UHI
20250331_227,2025-03-31,19.36501801801804,73.11164705882352,32.113418833414755,0.2875,32.113418833414755,13.48708559672042,32.2551870093918,100.795978694333,1.1508571593752035,0.0012844799925915,2.985545762206313,1,High UHI
20250331_228,2025-03-31,19.36501801801804,73.16066666666666,32.227106984456384,0.1872,32.227106984456384,13.425724919637048,31.9203413274404,88.62835379686416,1.072872501124992,0.0019252299239269,6.601232447068877,1,High UHI
20250331_229,2025-03-31,19.36501801801804,73.20968627450979,32.227106984456384,0.3724,32.227106984456384,13.425724919637048,31.9203413274404,88.62835379686416,1.072872501124992,0.0019252299239269,3.3051716170558554,1,High UHI
20250331_230,2025-03-31,19.36501801801804,73.25870588235293,32.29538497924807,0.2767,32.29538497924807,13.203312810262048,31.33922980366369,80.54470788156654,1.0041764787137637,0.0023424624373546,0.1613752293969247,1,High UHI
20250331_231,2025-03-31,19.36501801801804,73.30772549019606,32.29538497924807,0.324,32.29538497924807,13.203312810262048,31.33922980366369,80.54470788156654,1.0041764787137637,0.0023424624373546,0.1438282126920812,1,High UHI
20250331_232,2025-03-31,19.36501801801804,73.3567450980392,32.29538497924807,0.2886,32.772273000081384,13.391952133178734,30.88433672340348,74.5893793208866,0.9423427207303374,0.0023424624373546,0.2976906470031738,1,High UHI
20250331_233,2025-03-31,19.36501801801804,73.40576470588233,32.772273000081384,0.3621,32.772273000081384,13.391952133178734,30.88433672340348,74.5893793208866,0.9423427207303374,0.0023424624373546,0.093800830062567,1,High UHI
20250331_234,2025-03-31,19.36501801801804,73.45478431372547,33.832901255289755,0.3062,33.832901255289755,13.023869450887048,28.4075717423386,86.88948035530717,0.8182367116792644,0.0031620263030163,0.5471878154252594,1,High UHI
20250331_235,2025-03-31,19.36501801801804,73.5038039215686,33.832901255289755,0.3838,33.832901255289755,13.023869450887048,28.4075717423386,86.88948035530717,0.8182367116792644,0.0031620263030163,0.3451173718314377,1,High UHI
20250331_236,2025-03-31,19.36501801801804,73.55282352941174,33.600398000081384,0.2582,33.832901255289755,13.023869450887048,28.4075717423386,86.88948035530717,0.8182367116792644,0.0031620263030163,0.3247386649780273,1,High UHI
